shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4878,38.756312,-9.203767,1,
4878,38.756731,-9.201134,2,
4878,38.755788,-9.19982,3,
4878,38.754205,-9.197771,4,
4878,38.754302,-9.195602,5,
4878,38.75279,-9.189725,6,
9403,38.742155,-9.102203,1,
9403,38.744609,-9.102136,2,
9403,38.747181,-9.104732,3,
9403,38.749498,-9.10488,4,
9403,38.747094,-9.104972,5,
9403,38.746741,-9.106876,6,
9403,38.747978,-9.107805,7,
9403,38.744363,-9.110927,8,
9403,38.743196,-9.111952,9,
9403,38.74446,-9.113232,10,
9403,38.746554,-9.11281,11,
9403,38.748168,-9.112946,12,
9403,38.752047,-9.113506,13,
9403,38.755094,-9.113547,14,
9403,38.756647,-9.114626,15,
9403,38.757103,-9.116177,16,
9403,38.756865,-9.11851,17,
9403,38.756424,-9.120641,18,
9403,38.758117,-9.122929,19,
9403,38.759256,-9.124715,20,
9403,38.757395,-9.126546,21,
9403,38.755319,-9.126414,22,
9403,38.754164,-9.124885,23,
9403,38.75276,-9.123598,24,
9403,38.751065,-9.124555,25,
9403,38.7529,-9.126274,26,
9403,38.754581,-9.13162,27,
9403,38.754854,-9.134221,28,
9403,38.754684,-9.136554,29,
9403,38.755077,-9.138838,30,
9403,38.753418,-9.143276,31,
9403,38.754213,-9.14442,32,
9403,38.756315,-9.146929,33,
9403,38.754808,-9.152563,34,
9403,38.753847,-9.156517,35,
9403,38.750757,-9.158865,36,
9403,38.75019,-9.161581,37,
9403,38.748206,-9.16542,38,
9403,38.746891,-9.167886,39,
9403,38.745077,-9.168628,40,
9403,38.742098,-9.168552,41,
19983,38.745576,-9.135208,1,
19983,38.743412,-9.132416,2,
19983,38.745694,-9.131128,3,
19983,38.7496,-9.13075,4,
19983,38.7526,-9.13046,5,
19983,38.755087,-9.130205,6,
19983,38.757914,-9.129931,7,
19983,38.762168,-9.129477,8,
19983,38.767825,-9.128712,9,
19983,38.769828,-9.126596,10,
19983,38.774126,-9.125878,11,
19983,38.775956,-9.126369,12,
19983,38.777854,-9.126845,13,
19983,38.78099,-9.124841,14,
19983,38.78265,-9.125214,15,
19983,38.781403,-9.120347,16,
19983,38.779131,-9.120172,17,
19983,38.77707,-9.1159,18,
19983,38.776092,-9.113833,19,
19983,38.775372,-9.110767,20,
19983,38.773794,-9.10476,21,
19983,38.77478,-9.101771,22,
19983,38.774377,-9.097532,23,
19983,38.771328,-9.097768,24,
19983,38.767173,-9.099085,25,
19983,38.767759,-9.100032,26,
20014,38.713912,-9.13802,1,
20014,38.710048,-9.135271,2,
20014,38.709761,-9.133769,3,
20014,38.710327,-9.13163,4,
20014,38.711944,-9.13091,5,
20014,38.71229,-9.13249,6,
20015,38.71229,-9.13249,1,
20015,38.71179,-9.132885,2,
20015,38.711314,-9.130714,3,
20015,38.710166,-9.13234,4,
20015,38.710052,-9.134268,5,
20015,38.709944,-9.135962,6,
20015,38.713912,-9.13802,7,
20028,38.725664,-9.149046,1,
20028,38.725307,-9.151907,2,
20028,38.725106,-9.155305,3,
20028,38.724375,-9.160904,4,
20028,38.723244,-9.166678,5,
20028,38.727745,-9.212401,6,
20028,38.713882,-9.225103,7,
20028,38.714244,-9.226306,8,
20028,38.715005,-9.229437,9,
20028,38.714926,-9.231207,10,
20028,38.716023,-9.235666,11,
20029,38.715833,-9.235655,1,
20029,38.714856,-9.231514,2,
20029,38.714636,-9.229225,3,
20029,38.714145,-9.22722,4,
20029,38.713332,-9.225254,5,
20029,38.711082,-9.22619,6,
20029,38.723303,-9.165632,7,
20029,38.724091,-9.160724,8,
20029,38.724903,-9.154848,9,
20029,38.724659,-9.150856,10,
20029,38.725664,-9.149046,11,
20034,38.729876,-9.143497,1,
20034,38.727757,-9.145792,2,
20034,38.725565,-9.148617,3,
20034,38.725307,-9.151907,4,
20034,38.725106,-9.155305,5,
20034,38.724375,-9.160904,6,
20034,38.723244,-9.166678,7,
20034,38.673814,-9.174005,8,
20034,38.667593,-9.163809,9,
20060,38.760782,-9.1582,1,
20060,38.762555,-9.163613,2,
20060,38.761719,-9.16519,3,
20060,38.761102,-9.166913,4,
20060,38.760581,-9.169727,5,
20060,38.762459,-9.170683,6,
20060,38.764085,-9.170793,7,
20060,38.765221,-9.171667,8,
20060,38.767007,-9.17067,9,
20060,38.767994,-9.169786,10,
20060,38.768149,-9.168071,11,
20060,38.769151,-9.167092,12,
20060,38.770061,-9.165405,13,
20060,38.769069,-9.167805,14,
20060,38.770153,-9.169019,15,
20060,38.770948,-9.168723,16,
20060,38.770553,-9.170534,17,
20060,38.770416,-9.173092,18,
20060,38.7694,-9.173617,19,
20070,38.760812,-9.157505,1,
20070,38.7611,-9.157183,2,
20070,38.764567,-9.157,3,
20070,38.767189,-9.157922,4,
20070,38.770342,-9.15971,5,
20070,38.773573,-9.161641,6,
20070,38.774715,-9.163141,7,
20070,38.778097,-9.164239,8,
20070,38.781982,-9.162823,9,
20070,38.784416,-9.161066,10,
20070,38.787775,-9.159076,11,
20070,38.790608,-9.157347,12,
20070,38.793117,-9.155239,13,
20070,38.792009,-9.153139,14,
20070,38.792083,-9.1503,15,
20071,38.792083,-9.1503,1,
20071,38.790754,-9.150761,2,
20071,38.792255,-9.153266,3,
20071,38.793154,-9.155407,4,
20071,38.790887,-9.157305,5,
20071,38.78812,-9.158614,6,
20071,38.785878,-9.159691,7,
20071,38.784325,-9.161324,8,
20071,38.782016,-9.162941,9,
20071,38.77836,-9.164296,10,
20071,38.77596,-9.16341,11,
20071,38.772451,-9.161065,12,
20071,38.770242,-9.159899,13,
20071,38.767652,-9.158362,14,
20071,38.765541,-9.157426,15,
20071,38.760812,-9.157505,16,
20074,38.752674,-9.189517,1,
20074,38.755429,-9.192381,2,
20074,38.752866,-9.196814,3,
20074,38.751435,-9.19749,4,
20074,38.749293,-9.19767,5,
20074,38.747781,-9.197821,6,
20074,38.745013,-9.198958,7,
20074,38.745259,-9.202972,8,
20074,38.743823,-9.205766,9,
20074,38.742394,-9.206275,10,
20074,38.740835,-9.208898,11,
20074,38.742358,-9.211529,12,
20074,38.738705,-9.214247,13,
20074,38.737204,-9.216103,14,
20074,38.738366,-9.217766,15,
20074,38.735834,-9.218746,16,
20074,38.734876,-9.221476,17,
20074,38.735657,-9.221672,18,
20074,38.737322,-9.221195,19,
20074,38.736945,-9.222578,20,
20074,38.737458,-9.223688,21,
20074,38.739514,-9.22401,22,
20074,38.73946,-9.22151,23,
20075,38.73946,-9.22151,1,
20075,38.739631,-9.223889,2,
20075,38.73743,-9.223807,3,
20075,38.736805,-9.222677,4,
20075,38.737179,-9.221338,5,
20075,38.735767,-9.221708,6,
20075,38.734753,-9.221363,7,
20075,38.735665,-9.218691,8,
20075,38.738262,-9.217939,9,
